Instance;GeoSteiner;Branch;Smith_Fixed;Smith_Star;Smith
cube_n10_d2_s10;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s11;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s12;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s13;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s14;0,0000;0,0000;0,0000;0,0000;0,0011
cube_n10_d2_s15;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s16;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s17;0,0000;0,0000;0,0000;0,0000;0,0027
cube_n10_d2_s18;0,0000;0,0000;0,0000;0,0000;0,0020
cube_n10_d2_s19;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s1;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s20;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s21;0,0000;0,0000;0,0000;0,0000;0,0242
cube_n10_d2_s22;0,0000;0,0000;0,0000;0,0000;0,0248
cube_n10_d2_s23;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s24;0,0000;0,0000;0,0000;0,0000;0,0049
cube_n10_d2_s25;0,0000;0,0000;0,0000;0,0000;0,0020
cube_n10_d2_s26;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s27;0,0000;0,0000;0,0000;0,0000;0,0546
cube_n10_d2_s28;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s29;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s2;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s30;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s31;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s32;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s33;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s34;0,0000;0,0000;-1,8825;0,0000;-1,8825
cube_n10_d2_s35;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s36;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s37;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s38;0,0000;0,0000;0,0000;0,0000;0,0016
cube_n10_d2_s39;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s3;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s40;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s41;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s42;0,0000;0,0000;0,0000;0,0000;0,0003
cube_n10_d2_s43;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s44;0,0000;0,0000;0,0000;0,0000;0,0107
cube_n10_d2_s45;0,0000;0,0000;0,0000;0,0000;0,0027
cube_n10_d2_s46;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s47;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s48;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s49;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s4;0,0000;0,0000;0,0000;0,0000;0,0174
cube_n10_d2_s50;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s5;0,0000;0,0000;0,0000;0,0000;0,0542
cube_n10_d2_s6;0,0000;0,0000;0,0000;0,0000;0,0669
cube_n10_d2_s7;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n10_d2_s8;0,0000;0,0000;0,0000;0,0000;0,0007
cube_n10_d2_s9;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n11_d2_s10;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n11_d2_s11;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n11_d2_s12;0,0000;0,0000;0,0000;0,0000;0,0000
cube_n11_d2_s13;0,0000;0,0000;0,0000;0,0000;0,0000
